#decoys scores
complex.717.pdb -3.2714
complex.718.pdb 0.5668
complex.719.pdb -1.6273
complex.720.pdb 1.2110
complex.721.pdb -3.1304
complex.722.pdb -3.9764
complex.723.pdb -3.4331
complex.724.pdb -1.2350
complex.725.pdb 2.5404
complex.726.pdb 0.1873
complex.727.pdb 5.0253
complex.728.pdb -4.9642
complex.729.pdb 2.2593
complex.730.pdb 5.4047
complex.731.pdb -3.8732
complex.732.pdb 1.8679
complex.733.pdb -0.3159
complex.734.pdb -1.0567
complex.735.pdb 4.3390
complex.736.pdb -4.0026
complex.737.pdb 5.8796
complex.738.pdb -4.2410
complex.739.pdb 3.4728
complex.740.pdb 1.7234
complex.741.pdb 1.8172
complex.742.pdb -2.0583
complex.743.pdb -0.6501
complex.744.pdb 0.4368
complex.745.pdb -2.1457
complex.746.pdb -4.0738
complex.747.pdb 5.2829
complex.748.pdb 2.1714
complex.749.pdb -4.2250
complex.750.pdb -0.4448
complex.751.pdb 1.0958
complex.752.pdb -2.9465
complex.753.pdb 5.6243
complex.754.pdb -3.1657
complex.755.pdb 2.2184
complex.756.pdb 1.8936
complex.757.pdb 6.7505
complex.758.pdb 2.8759
complex.759.pdb 5.7695
complex.760.pdb 1.0456
complex.761.pdb 2.9105
complex.762.pdb 3.2261
complex.763.pdb 4.3541
complex.764.pdb 0.3474
complex.765.pdb -4.7614
complex.766.pdb -4.6339
complex.767.pdb -2.6278
complex.768.pdb -0.3980
complex.769.pdb -4.2596
complex.770.pdb -2.2824
complex.771.pdb -0.3394
complex.772.pdb -0.6755
complex.773.pdb -0.5348
complex.774.pdb 2.3146
complex.775.pdb 1.3252
complex.776.pdb 0.0836
complex.777.pdb -2.9760
complex.778.pdb -1.3118
complex.779.pdb 4.6270
complex.780.pdb 4.5081
complex.781.pdb -3.5551
complex.782.pdb 1.4979
complex.783.pdb 3.0672
complex.784.pdb -0.3275
complex.785.pdb -0.5599
complex.786.pdb 0.5084
complex.787.pdb -0.7639
complex.788.pdb 1.5241
complex.789.pdb -1.0844
complex.790.pdb 5.0614
complex.791.pdb -1.9010
complex.792.pdb 5.3025
complex.793.pdb -2.5975
complex.794.pdb -6.1647
complex.795.pdb 4.0070
complex.796.pdb -2.0226
complex.797.pdb 2.5207
complex.798.pdb 5.5587
complex.799.pdb 1.6514
complex.800.pdb 4.0586
complex.801.pdb -1.5343
complex.802.pdb 2.9063
complex.803.pdb -1.6166
complex.804.pdb -0.2886
complex.805.pdb 4.2578
complex.806.pdb -3.1179
complex.807.pdb -1.1446
complex.808.pdb -2.8410
complex.809.pdb 6.2034
complex.810.pdb -2.0240
complex.811.pdb 5.8415
complex.812.pdb -1.0665
complex.813.pdb 0.7477
complex.814.pdb 4.3654
complex.815.pdb 0.2298
complex.816.pdb -1.0523
complex.817.pdb -4.6037
complex.818.pdb 3.4636
complex.819.pdb -2.7563
